Regional,DDD,ValorTEF,ValorBonus,Validade
CLARO-PR-SC,45,40,6,90
CLARO-PR-SC,45,50,8,120
CLARO-PR-SC,45,100,18,180
CLARO-PR-SC,46,13,0,30
CLARO-PR-SC,46,15,0,30
CLARO-PR-SC,46,20,2,60
CLARO-PR-SC,46,30,4,90
CLARO-PR-SC,46,35,5,90
CLARO-PR-SC,46,40,6,90
CLARO-PR-SC,46,50,8,120
CLARO-PR-SC,46,100,18,180
CLARO-PR-SC,47,13,0,30
CLARO-PR-SC,47,15,0,30
CLARO-PR-SC,47,20,2,60
CLARO-PR-SC,47,30,4,90
CLARO-PR-SC,47,35,5,90
CLARO-PR-SC,47,40,6,90
CLARO-PR-SC,47,50,8,120
CLARO-PR-SC,47,100,18,180
CLARO-PR-SC,48,13,0,30
CLARO-PR-SC,48,15,0,30
CLARO-PR-SC,48,20,2,60
CLARO-PR-SC,48,30,4,90
CLARO-PR-SC,48,35,5,90
CLARO-PR-SC,48,40,6,90
CLARO-PR-SC,48,50,8,120
CLARO-PR-SC,48,100,18,180
CLARO-PR-SC,49,13,0,30
CLARO-PR-SC,49,15,0,30
CLARO-PR-SC,49,20,2,60
CLARO-PR-SC,49,30,4,90
CLARO-PR-SC,49,35,5,90
CLARO-PR-SC,49,40,6,90
CLARO-PR-SC,49,50,8,120
CLARO-PR-SC,49,100,18,180
CLARO,51,13,0,30
CLARO,51,15,0,30
CLARO,51,20,2,60
CLARO,51,30,4,90
CLARO,51,35,5,90
CLARO,51,40,6,90
CLARO,51,50,8,120
CLARO,51,100,18,180
CLARO,53,13,0,30
CLARO,53,15,0,30
CLARO,53,20,2,60
CLARO,53,30,4,90
CLARO,53,35,5,90
CLARO,53,40,6,90
CLARO,53,50,8,120
CLARO,53,100,18,180
CLARO,54,13,0,30
CLARO,54,15,0,30
CLARO,54,20,2,60
CLARO,54,30,4,90
CLARO,54,35,5,90
CLARO,54,40,6,90
CLARO,54,50,8,120
CLARO,54,100,18,180
CLARO,55,13,0,30
CLARO,55,15,0,30
CLARO,55,20,2,60
CLARO,55,30,4,90
CLARO,55,35,5,90
CLARO,55,40,6,90
CLARO,55,50,8,120
CLARO,55,100,18,180
CLARO,56,13,0,30
CLARO,56,15,0,30
CLARO,56,20,2,60
CLARO,56,30,4,90
CLARO,56,35,5,90
CLARO,56,40,6,90
CLARO,56,50,8,120
CLARO,56,100,18,180
CLARO,57,13,0,30
CLARO,57,15,0,30
CLARO,57,20,2,60
CLARO,57,30,4,90
CLARO,57,35,5,90
CLARO,57,40,6,90
